| Image                      | Size         |
|----------------------------+--------------|
| /cloth_mask/cm_1.jpg       | (1800, 1800) |
| /cloth_mask/cm_10.jpg      | (1080, 1349) |
| /cloth_mask/cm_100.png     | (714, 621)   |
| /cloth_mask/cm_101.png     | (727, 622)   |
| /cloth_mask/cm_102.png     | (439, 507)   |
| /cloth_mask/cm_103.png     | (667, 540)   |
| /cloth_mask/cm_104.png     | (705, 604)   |
| /cloth_mask/cm_105.png     | (694, 594)   |
| /cloth_mask/cm_106.png     | (663, 612)   |
| /cloth_mask/cm_107.png     | (723, 612)   |
| /cloth_mask/cm_108.png     | (699, 606)   |
| /cloth_mask/cm_109.png     | (688, 477)   |
| /cloth_mask/cm_11.jpg      | (1080, 1080) |
| /cloth_mask/cm_110.png     | (527, 666)   |
| /cloth_mask/cm_111.png     | (723, 621)   |
| /cloth_mask/cm_112.png     | (721, 621)   |
| /cloth_mask/cm_113.png     | (688, 612)   |
| /cloth_mask/cm_114.png     | (704, 610)   |
| /cloth_mask/cm_115.png     | (726, 624)   |
| /cloth_mask/cm_116.png     | (541, 608)   |
| /cloth_mask/cm_117.png     | (717, 621)   |
| /cloth_mask/cm_118.png     | (673, 611)   |
| /cloth_mask/cm_119.png     | (586, 607)   |
| /cloth_mask/cm_12.jpg      | (1024, 683)  |
| /cloth_mask/cm_120.png     | (664, 582)   |
| /cloth_mask/cm_121.png     | (694, 559)   |
| /cloth_mask/cm_122.png     | (525, 671)   |
| /cloth_mask/cm_123.png     | (725, 560)   |
| /cloth_mask/cm_124.png     | (679, 612)   |
| /cloth_mask/cm_125.png     | (714, 619)   |
| /cloth_mask/cm_126.png     | (529, 460)   |
| /cloth_mask/cm_127.png     | (402, 449)   |
| /cloth_mask/cm_128.png     | (528, 670)   |
| /cloth_mask/cm_129.png     | (509, 770)   |
| /cloth_mask/cm_13.jpg      | (1024, 683)  |
| /cloth_mask/cm_130.png     | (508, 789)   |
| /cloth_mask/cm_131.png     | (671, 556)   |
| /cloth_mask/cm_132.png     | (715, 612)   |
| /cloth_mask/cm_133.png     | (723, 620)   |
| /cloth_mask/cm_134.png     | (711, 620)   |
| /cloth_mask/cm_135.png     | (526, 668)   |
| /cloth_mask/cm_136.png     | (689, 617)   |
| /cloth_mask/cm_137.png     | (526, 669)   |
| /cloth_mask/cm_138.png     | (673, 579)   |
| /cloth_mask/cm_139.png     | (522, 432)   |
